Operación tradicional:
n: 1k
1.588135 ms.	1.550049 ms.	1.549805 ms.	1.585938 ms.	1.447998 ms.	1.576904 ms.	1.490967 ms.	1.458008 ms.	1.372070 ms.	1.258057 ms.	1.352783 ms.	1.342041 ms.	 
57.343994 ms.	69.147217 ms.	68.394043 ms.	7.698975 ms.	7.603027 ms.	29.635986 ms.	6.843994 ms.	7.122070 ms.	6.718994 ms.	4.458984 ms.	5.791016 ms.	5.171143 ms.	 
88.649902 ms.	66.849121 ms.	143.437012 ms.	23.454102 ms.	10.035889 ms.	79.818115 ms.	13.743164 ms.	18.985107 ms.	10.180908 ms.	15.800049 ms.	10.095947 ms.	9.431152 ms.	 
14.556885 ms.	7.244141 ms.	23.608887 ms.	34.247070 ms.	7.477051 ms.	25.940918 ms.	24.349854 ms.	16.625000 ms.	7.791016 ms.	14.780029 ms.	7.329102 ms.	6.601074 ms.	 
9.449951 ms.	7.796875 ms.	9.973145 ms.	7.084961 ms.	8.568115 ms.	9.981201 ms.	7.160156 ms.	8.206055 ms.	7.522949 ms.	3.890137 ms.	7.579102 ms.	6.800049 ms.	 
45.510010 ms.	30.279785 ms.	78.062988 ms.	23.837891 ms.	9.868896 ms.	118.713135 ms.	33.505127 ms.	9.402100 ms.	10.376953 ms.	4.856934 ms.	8.886963 ms.	8.281982 ms.	 
14.065918 ms.	5.842773 ms.	15.487793 ms.	23.569092 ms.	7.162109 ms.	33.887939 ms.	33.037109 ms.	8.621094 ms.	8.086182 ms.	5.249023 ms.	7.916992 ms.	7.272949 ms.	 
10.351074 ms.	7.363037 ms.	18.875000 ms.	17.197998 ms.	8.202881 ms.	10.902100 ms.	8.066162 ms.	23.920898 ms.	9.658203 ms.	18.645996 ms.	8.562012 ms.	7.777100 ms.	 
9.628906 ms.	6.736816 ms.	11.030029 ms.	7.855957 ms.	7.553955 ms.	10.468994 ms.	8.102051 ms.	9.636963 ms.	10.604004 ms.	4.381104 ms.	8.538086 ms.	7.666016 ms.	 
4.689941 ms.	4.480957 ms.	15.997070 ms.	14.202148 ms.	3.894043 ms.	4.104980 ms.	5.246094 ms.	18.591797 ms.	3.418945 ms.	40.073975 ms.	28.784912 ms.	4.337158 ms.	 
9.891113 ms.	6.852051 ms.	10.168945 ms.	7.326904 ms.	7.588867 ms.	8.791992 ms.	7.833984 ms.	8.572998 ms.	5.596924 ms.	29.301025 ms.	44.964111 ms.	8.606934 ms.	 
9.031982 ms.	6.036133 ms.	9.413086 ms.	6.581055 ms.	6.773926 ms.	8.402100 ms.	6.406982 ms.	7.798096 ms.	7.668945 ms.	3.760986 ms.	8.652100 ms.	8.821045 ms.	 
 
n: 1m
518.876953 ms.	280.146973 ms.	385.452148 ms.	371.875977 ms.	192.997070 ms.	232.393066 ms.	173.868896 ms.	175.010010 ms.	178.778076 ms.	150.703857 ms.	179.833984 ms.	131.974854 ms.	 
279.012207 ms.	312.534912 ms.	303.867920 ms.	227.094971 ms.	161.743164 ms.	163.969971 ms.	137.885986 ms.	138.291016 ms.	129.534912 ms.	135.573975 ms.	128.567139 ms.	87.162109 ms.	 
387.136963 ms.	304.691895 ms.	763.062012 ms.	334.228027 ms.	218.733887 ms.	269.344971 ms.	182.784912 ms.	186.412109 ms.	183.674072 ms.	173.298096 ms.	155.273926 ms.	101.988037 ms.	 
371.167969 ms.	228.330811 ms.	333.503906 ms.	926.640869 ms.	428.843018 ms.	370.118164 ms.	254.696045 ms.	249.058105 ms.	240.629883 ms.	221.783936 ms.	253.424072 ms.	196.344238 ms.	 
192.942139 ms.	161.104004 ms.	218.690186 ms.	428.812012 ms.	626.154053 ms.	341.031982 ms.	256.563965 ms.	253.771973 ms.	240.796875 ms.	226.180176 ms.	233.739014 ms.	166.529053 ms.	 
232.027100 ms.	165.261963 ms.	269.416992 ms.	369.817139 ms.	341.825928 ms.	610.682861 ms.	283.657959 ms.	265.419922 ms.	263.079834 ms.	231.499023 ms.	229.916016 ms.	167.359863 ms.	 
174.356934 ms.	138.067871 ms.	181.649170 ms.	254.889893 ms.	258.244141 ms.	282.749023 ms.	318.033936 ms.	272.059082 ms.	243.693115 ms.	232.385986 ms.	233.826172 ms.	166.639893 ms.	 
177.433105 ms.	137.940918 ms.	186.669922 ms.	249.295898 ms.	254.384033 ms.	265.493164 ms.	272.559082 ms.	388.495850 ms.	278.979980 ms.	247.693115 ms.	242.364990 ms.	174.376221 ms.	 
